Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
01.01.2017	Sonntag	Neujahr	1.Chronik 28,9	Diene Gott mit ganzem Herzen und mit williger Seele! Denn der HERR erforscht alle Herzen.	Hebräer 13,20.21	Der Gott des Friedens mache euch tüchtig in allem Guten, zu tun seinen Willen, und schaffe in uns, was ihm gefällt, durch Jesus Christus, welchem sei Ehre von Ewigkeit zu Ewigkeit!
02.01.2017	Montag		Nehemia 9,33	Du, unser Gott, bist gerecht bei allem, was über uns kommt; du hast die Treue bewahrt, wir aber haben uns schuldig gemacht.	Titus 3,4-5	Als die Freundlichkeit und Menschenliebe Gottes, unseres Heilands, erschien, machte er uns selig – nicht um der Werke willen, die wir in Gerechtigkeit getan hätten, sondern nach seiner Barmherzigkeit.
03.01.2017	Dienstag		1.Mose 37,22	Ruben sprach zu seinen Brüdern: Vergießt nicht Blut!	Lukas 6,36	Seid barmherzig, wie auch euer Vater barmherzig ist.
04.01.2017	Mittwoch		Psalm 119,147	Ich komme in der Frühe und rufe um Hilfe; auf dein Wort hoffe ich.	Philipper 4,6	Sorgt euch um nichts, sondern in allen Dingen lasst eure Bitten in Gebet und Flehen mit Danksagung vor Gott kundwerden!
05.01.2017	Donnerstag		Sprüche 12,20	Die zum Frieden raten, haben Freude.	Matthäus 5,9	Selig sind, die Frieden stiften; denn sie werden Gottes Kinder heißen.
06.01.2017	Freitag	Epiphanias (Erscheinungsfest)	Jesaja 9,4	Jeder Stiefel, der mit Gedröhn dahergeht, und jeder Mantel, durch Blut geschleift, wird verbrannt und vom Feuer verzehrt.	Lukas 1,78.79	Das aufgehende Licht richte unsere Füße auf den Weg des Friedens.
07.01.2017	Samstag		Psalm 118,22-23	Der Stein, den die Bauleute verworfen haben, ist zum Eckstein geworden. Das ist vom HERRN geschehen und ist ein Wunder vor unsern Augen.	1.Korinther 3,11	Einen andern Grund kann niemand legen außer dem, der gelegt ist, welcher ist Jesus Christus.
08.01.2017	Sonntag	1. Sonntag nach Epiphanias	2.Mose 20,23	Ihr sollt euch keine andern Götter neben mir machen, weder silberne noch goldene.	Matthäus 4,8-10	Der Teufel führte Jesus mit sich auf einen sehr hohen Berg und zeigte ihm alle Reiche der Welt und ihre Herrlichkeit und sprach zu ihm: Das alles will ich dir geben, wenn du niederfällst und mich anbetest. Da sprach Jesus zu ihm: Weg mit dir, Satan! Denn es steht geschrieben: »Du sollst anbeten den Herrn, deinen Gott, und ihm allein dienen.«
09.01.2017	Montag		2.Chronik 32,24-25	Hiskia wurde todkrank; und er betete zum HERRN. Der redete mit ihm und gab ihm ein Wunderzeichen. Aber Hiskia vergalt nicht nach dem, was ihm geschehen war; denn sein Herz überhob sich.	Markus 5,19	Jesus sprach zu dem Geheilten: Geh hin in dein Haus zu den Deinen und verkünde ihnen, welch große Dinge der Herr an dir getan und wie er sich deiner erbarmt hat.
10.01.2017	Dienstag		Jesaja 5,20	Weh denen, die Böses gut und Gutes böse nennen, die aus Finsternis Licht und aus Licht Finsternis machen!	1.Petrus 2,21-22	Dazu seid ihr berufen, da auch Christus gelitten hat für euch und euch ein Vorbild hinterlassen, dass ihr sollt nachfolgen seinen Fußstapfen; er, der keine Sünde getan hat und in dessen Mund sich kein Betrug fand.
11.01.2017	Mittwoch		Sprüche 29,7	Der Gerechte weiß um die Sache der Armen.	2.Korinther 8,14	Euer Überfluss helfe ihrem Mangel ab.
12.01.2017	Donnerstag		Psalm 103,8	Barmherzig und gnädig ist der HERR, geduldig und von großer Güte.	Titus 2,11	Es ist erschienen die heilsame Gnade Gottes allen Menschen.
13.01.2017	Freitag		Jesaja 30,19	Der HERR wird dir gnädig sein, wenn du rufst. Er wird dir antworten, sobald er’s hört.	Markus 10,47	Jesus, du Sohn Davids, erbarme dich meiner!
14.01.2017	Samstag		Psalm 91,9	Der HERR ist deine Zuversicht.	Hebräer 6,18	Wir sollten einen starken Trost haben, die wir unsre Zuflucht dazu genommen haben, festzuhalten an der angebotenen Hoffnung.
15.01.2017	Sonntag	2. Sonntag nach Epiphanias	Maleachi 2,10	Haben wir nicht alle  e i n e n  Vater? Hat uns nicht  e i n  Gott geschaffen? Warum verachten wir denn einer den andern?	Johannes 13,35	/Jesus spricht:/ Daran wird jedermann erkennen, dass ihr meine Jünger seid, wenn ihr Liebe untereinander habt.
16.01.2017	Montag		Jesaja 44,6	Ich bin der Erste, und ich bin der Letzte, und außer mir ist kein Gott.	Epheser 3,14-15	Ich beuge meine Knie vor dem Vater, der der rechte Vater ist über alles, was da Kinder heißt im Himmel und auf Erden.
17.01.2017	Dienstag		Psalm 146,5	Wohl dem, dessen Hilfe der Gott Jakobs ist, der seine Hoffnung setzt auf den HERRN.	2.Timotheus 1,12	/Paulus schreibt:/ Ich weiß, an wen ich glaube, und bin gewiss, dass er bewahren kann, was mir anvertraut ist, bis an jenen Tag.
18.01.2017	Mittwoch		Habakuk 3,18	Ich will mich freuen des HERRN und fröhlich sein in Gott, meinem Heil.	Apostelgeschichte 8,39	Der Kämmerer zog seine Straße fröhlich.
19.01.2017	Donnerstag		Jesaja 60,18	Man soll nicht mehr von Frevel hören in deinem Lande noch von Schaden oder Verderben in deinen Grenzen, sondern deine Mauern sollen »Heil« und deine Tore »Lob« heißen.	Offenbarung 21,3	/Der Seher Johannes schreibt:/ Ich hörte eine große Stimme von dem Thron her, die sprach: Siehe da, die Hütte Gottes bei den Menschen! Und er wird bei ihnen wohnen, und sie werden seine Völker sein, und er selbst, Gott mit ihnen, wird ihr Gott sein.
20.01.2017	Freitag		Sprüche 15,16	Besser wenig mit der Furcht des HERRN als ein großer Schatz, bei dem Unruhe ist.	Lukas 12,24	Achtet auf die Raben: Sie säen nicht, sie ernten nicht, sie haben weder Vorratskammer noch Scheune: Gott ernährt sie. Ihr seid doch viel mehr wert als die Vögel!
